iter	Passed	Remaining
157	1163	1781
158	1167	1769
159	1180	1771
160	1187	1762
161	1192	1751
162	1196	1740
163	1206	1736
164	1213	1728
165	1219	1719
166	1225	1709
167	1230	1699
168	1241	1697
169	1249	1690
170	1255	1681
171	1260	1671
172	1267	1663
173	1274	1655
174	1280	1646
175	1285	1636
176	1290	1626
177	1301	1623
178	1308	1616
179	1315	1608
180	1320	1597
181	1324	1586
182	1336	1584
183	1342	1576
184	1348	1567
185	1353	1557
186	1358	1547
187	1371	1546
188	1377	1538
189	1383	1528
190	1387	1518
191	1391	1507
192	1404	1505
193	1410	1497
194	1416	1489
195	1421	1479
196	1432	1476
197	1440	1469
198	1446	1461
199	1452	1452
200	1456	1441
201	1469	1440
202	1476	1433
203	1481	1423
204	1486	1413
205	1490	1403
206	1503	1401
207	1509	1393
208	1514	1384
209	1519	1374
210	1523	1364
211	1535	1361
212	1542	1354
213	1547	1345
214	1552	1336
215	1562	1331
216	1570	1324
217	1575	1315
218	1581	1306
219	1585	1297
220	1598	1294
221	1605	1287
222	1611	1279
223	1616	1270
224	1620	1260
225	1633	1257
226	1640	1250
227	1645	1241
228	1650	1232
229	1662	1228
230	1668	1220
231	1673	1212
232	1679	1203
233	1683	1194
234	1695	1190
235	1702	1182
236	1708	1174
237	1712	1165
238	1716	1156
239	1729	1152
240	1735	1145
241	1741	1136
242	1745	1128
243	1757	1123
244	1764	1116
245	1771	1108
246	1776	1100
247	1780	1091
248	1792	1087
249	1798	1079
250	1804	1071
251	1809	1062
252	1813	1053
253	1826	1049
254	1832	1041
255	1838	1033
256	1842	1025
257	1852	1019
258	1860	1012
259	1866	1004
260	1871	996
261	1875	987
262	1886	982
263	1894	975
264	1901	968
265	1905	959
266	1909	951
267	1922	946
268	1932	941
269	1936	932
270	1940	923
271	1950	917
272	1963	913
273	1966	904
274	1970	895
275	1974	887
276	1993	885
277	1998	877
278	2002	868
279	2006	859
280	2025	857
281	2029	849
282	2033	840
283	2037	832
284	2041	823
285	2059	821
286	2063	812
287	2067	804
288	2071	795
289	2081	789
290	2093	784
291	2097	775
292	2101	767
293	2105	759
294	2124	756
295	2129	748
296	2133	739
297	2137	731
298	2157	728
299	2161	720
300	2164	711
301	2168	703
302	2172	695
303	2192	692
304	2196	684
305	2200	675
306	2204	667
307	2223	664
308	2227	655
309	2231	647
310	2235	639
311	2254	635
312	2258	627
313	2262	619
314	2266	611
315	2273	604
316	2285	598
317	2288	590
318	2292	582
319	2297	574
320	2316	570
321	2320	562
322	2324	554
323	2328	546
324	2338	539
325	2350	533
326	2355	525
327	2359	517
328	2363	509
329	2381	505
330	2386	497
331	2390	489
332	2395	481
333	2414	477
334	2418	469
335	2422	461
336	2427	453
337	2446	448
338	2450	440
339	2454	433
340	2458	425
341	2476	419
342	2482	412
343	2486	404
344	2490	396
345	2494	389
346	2513	383
347	2517	376
348	2521	368
349	2525	360
350	2545	355
351	2549	347
352	2554	340
353	2558	332
354	2577	326
355	2581	319
356	2585	311
357	2589	303
358	2593	296
359	2609	289
360	2613	282
361	2617	274
362	2621	267
363	2641	261
364	2645	253
365	2649	246
366	2654	238
367	2673	232
368	2678	224
369	2682	217
370	2686	209
371	2705	203
372	2710	196
373	2714	188
374	2718	181
375	2729	174
376	2741	167
377	2745	159
378	2748	152
379	2752	144
380	2775	138
381	2781	131
382	2785	123
383	2804	116
384	2809	109
385	2813	102
386	2817	94
387	2828	87
388	2840	80
389	2844	72
390	2848	65
391	2852	58
392	2871	51
393	2875	43
394	2879	36
395	2884	29
396	2903	21
397	2907	14
398	2911	7
399	2915	0
